Brand,Title,Price,Color,Category,Style,Print,Finish,Fabric,Details,Listed
16Arlington,Leazzo leather jacket,3294,black,Jacket,Detailing,solid,Material,Calf leather,New Season,FARFETCH ID:  31858255
AMI Paris,wool checked wrap midi skirt,1237,camel brown,Skirt,Detailing,Geomatric,none,cotton,Runway,FARFETCH ID:  30650749
BOTTEGA VENETA,Button-detailed ribbed wool-blend sweater,1600,White,Knitwear,Detailing,solid,Material," wool,  viscose",New season,Product Code 46376663162966722
BOTTEGA VENETA,Leather-trimmed cotton-corduroy shirt,900,Ecru,Shirt,Detailing,solid,Material," cotton, leather (Cow); buttons:  horn (Buffalo)",New season,Product Code 46376663162966738
BOTTEGA VENETA,Leather-trimmed cotton-corduroy straight-leg pants,800,Ecru,Trousers,Detailing,solid,Material," cotton; button:  horn (Buffalo),  leather (Cow)",New season,Product Code 46376663162966741
BOTTEGA VENETA,Embellished ruched jersey turtleneck maxi dress,2100,Navy,Dress,Detailing,solid,Embellished,viscose,New season,Product Code 46376663162891759
CAROLINA HERRERA,Metallic brocade gown,5455,Multi,Dress,Detailing,Graphic,Material," polyester,  metallised polyester,  polyamide",New season,Product Code 46376663162947331
CHLOÉ,"Cropped ruffled pointelle-knit cotton, alpaca and silk-blend cardigan",1490,Cream,Knitwear,Detailing,solid,Material," cotton,  alpaca,  silk",New season,Product Code 46376663162867384
CHLOÉ,Lace-trimmed silk-jacquard camisole,1090,Light green,Top,Detailing,solid,Material," silk,  polyester,  polyamide",New season,Product Code 46376663162859612
CHRISTOPHER ESBER,Embellished cutout layered stretch-jersey maxi dress,935,Black,Dress,Detailing,solid,Embellished," rayon,  polyester; fabric:  polyester,  spandex",New season,Product Code 46376663162891745
CHRISTOPHER ESBER,Crystal-embellished ruched stretch-jersey maxi dress,710,Black,Dress,Detailing,solid,Embellished," polyester,  spandex",New season,Product Code 46376663162947291
CHRISTOPHER ESBER,Metallic knitted maxi dress,1265,Black,Dress,Detailing,solid,Fabric," viscose,  polyamide, polyester",New season,Product Code 46376663162848009
Claudie Pierlot,houndstooth leather-trimmed dress,606,brown,Dress,Detailing,Geomatric,Material,Polyester,New Season,FARFETCH
Courrèges,contrast-trim cotton T-shirt,397,white,T-shirt,Detailing,solid,none,Cotton,New Season,FARFETCH ID:  31605695
DÔEN,Amelina tiered ruffled merino wool mini dress,590,Black,Dress,Detailing,solid,Material,merino wool,New season,Product Code 46376663162909289
DÔEN,Obelia corded lace-trimmed silk-satin midi dress,480,Black,Dress,Detailing,solid,Material,silk,New season,Product Code 46376663162842659
DÔEN,Kira corded lace-trimmed silk-satin camisole,310,Pink,Top,Detailing,solid,Material,silk,Exclusive,Product Code 46376663162882363
DÔEN,Kira corded lace-trimmed silk-satin camisole,310,Black,Top,Detailing,solid,Material,silk,Runway,Product Code 46376663162841875
DRIES VAN NOTEN,cashmere wrap cardigan,2829,purple,Knitwear,Detailing,solid,Fabric,Cashmere,New Season,FARFETCH ID:  30883884
DRIES VAN NOTEN,printed wrap-skirt trousers,1767,olive green,Skirt,Detailing,Floral,none,Viscose,New Season,FARFETCH ID:  30883822
DRIES VAN NOTEN,Twist-front cotton-jersey midi skirt,435,Light gray,Skirt,Detailing,solid,Material,cotton,"New season, Net Sustain ",Product Code 46376663162929224
DRIES VAN NOTEN,Twist-front cotton-jersey midi skirt,435,Black,Skirt,Detailing,solid,none,cotton,Exclusive,Product Code 46376663162888388
DRIES VAN NOTEN,Pussy-bow silk-blend satin blouse,995,Brown,Top,Detailing,solid,Material," silk,  elastane",New season,Product Code 1647597359626201
Elisabetta Franchi,chain-embellished dress,520,black,Dress,Detailing,solid,Fabric,Lycra,New Season,FARFETCH ID:  31497665
Essentiel Antwerp,sequin-embellishment midi skirt,452,yellow,Skirt,Detailing,Geomatric,Embellished,Polyester,New Season,FARFETCH ID:  31780037
ETRO,floral-print ruffled maxi skirt,4816,burgundy,Skirt,Detailing,Floral,none,Polyester,New Season,FARFETCH
Ferragamo,flap-pockets blazer,2900,black,Jacket,Detailing,Geomatric,Material,Polyester,Runway,FARFETCH ID:  30971121
GANNI,Puppy logo sleeveless knit vest,471,pink,Knitwear,Detailing,Graphic,Fabric,Wool,New Season,FARFETCH ID:  31317262
ISABEL MARANT,Jadelia lace and pointelle-trimmed silk-blend satin midi dress,1250,Midnight blue,Dress,Detailing,solid,Material," silk,  Lycra®",Runway,Product Code 46376663162893749
Jenny Packham,Carina jewel-embellished midi dress,3316,black,Dress,Detailing,solid,none,Polyester,New Season,FARFETCH ID:  31281785
Jil Sander,herringbone-patterned mini skirt,1510,moss green,Skirt,Detailing,Geomatric,none,Virgin wool,New Season,FARFETCH ID:  30009815
Johanna Ortiz,Casablanca cropped top,1003,ecru,Top,Detailing,solid,none,Polyester,New Season,FARFETCH
L'IDÉE,pleated ruffled gown,1259,light pink,Dress,Detailing,solid,Fabric,Polyester,New Season,FARFETCH
La DoubleJ,floral-print ruffled maxi day dress,1733,yellow,Dress,Detailing,Floral,none,Silk,New Season,FARFETCH ID:  31135242
La DoubleJ,Gingerbread ruffled printed mini dress,1219,beige,Dress,Detailing,Floral,none,Cotton,New Season,FARFETCH ID:  30065463
LOEWE,Buckle-detailed leather jacket,5800,Black,Jacket,Detailing,solid,Material," leather (Lamb), viscose",New season,Product Code 46376663162915145
LOEWE,Leather-trimmed cotton-blend peplum jacket,1900,Green,Jacket,Detailing,solid,Material," cotton,  polyamide,  leather (Lamb)",New season,Product Code 46376663162855022
